Customer ID,Unnamed: 0,Total_Orders,Total_Profit,Sales,Avg_Discount,Segment,Region,Furniture_Profit,Technology_Profit,Office_Supplies_Profit,Multi_Category,has_furniture,has_technology,has_office,Customer_Group,First_Category,Acquisition_Date,Cohort_Year,Last_Order_Date,Months_Since_Acquisition
AA-10315,0,11,-362.8825,5563.56,0.0909090909090909,Consumer,Central,6.2608,38.1347,-407.278,2,1,1,0,Furniture + Technology,Office Supplies,2014-03-31,2014,2017-06-29,39.53333333333333
AA-10375,1,15,277.3824,1056.39,0.08,Consumer,West,11.076,195.2302,71.0762,3,1,1,1,All Three,Office Supplies,2014-04-21,2014,2017-12-11,44.333333333333336
AA-10480,2,12,435.8274,1790.5120000000002,0.0166666666666666,Consumer,South,108.4104,221.9814,105.4356,3,1,1,1,All Three,Furniture,2014-05-04,2014,2017-04-15,35.9
AA-10645,3,18,857.8033,5086.9349999999995,0.0638888888888888,Consumer,East,648.8833999999999,63.6743,145.2456,3,1,1,1,All Three,Furniture,2014-06-22,2014,2017-11-05,41.06666666666667
AB-10015,4,6,129.3465,886.156,0.0666666666666666,Consumer,West,60.1937,62.1544,6.998399999999999,3,1,1,1,All Three,Office Supplies,2014-02-18,2014,2016-11-10,33.2
AB-10060,5,18,2054.5885,7755.62,0.0444444444444444,Home Office,East,334.5016,63.793,1656.2939,3,1,1,1,All Three,Office Supplies,2015-09-18,2015,2017-11-06,26.0
AB-10105,6,20,5444.8055,14473.570999999998,0.24,Consumer,West,-75.205,166.7257,5353.2848,2,0,1,1,Other,Office Supplies,2014-12-20,2014,2017-11-19,35.5
AB-10150,7,12,313.6597,966.71,0.1333333333333333,Consumer,East,-13.993,217.1317,110.521,2,0,1,1,Other,Office Supplies,2014-03-05,2014,2017-11-19,45.166666666666664
AB-10165,8,14,220.813,1113.838,0.1357142857142857,Consumer,West,38.4984,22.018,160.2966,3,1,1,1,All Three,Furniture,2014-11-16,2014,2017-12-05,37.166666666666664
AB-10255,9,14,264.5675,914.532,0.1,Home Office,East,7.3788,103.5031,153.6856,3,1,1,1,All Three,Office Supplies,2014-07-22,2014,2017-07-17,36.36666666666667
AB-10600,10,8,-274.9604,1515.862,0.375,Corporate,West,-145.0416,-84.87,-45.0488,0,0,0,0,Other,Office Supplies,2014-11-18,2014,2017-11-10,36.266666666666666
AC-10420,11,5,-62.1342,925.8,0.32,Corporate,West,-17.4588,0.0,-44.6754,0,0,0,0,Other,Office Supplies,2014-07-12,2014,2017-05-12,34.5
AC-10450,12,9,1366.0098,5527.846,0.1888888888888888,Consumer,Central,0.0,82.7833,1283.2265,2,0,1,1,Other,Technology,2014-10-31,2014,2017-12-19,38.166666666666664
AC-10615,13,18,298.8273,2537.6859999999997,0.1111111111111111,Corporate,East,130.6982,160.99009999999998,7.138999999999997,3,1,1,1,All Three,Office Supplies,2015-09-15,2015,2017-12-24,27.7
AC-10660,14,6,-28.700399999999995,657.316,0.1833333333333333,Consumer,Central,-7.8588,-7.537199999999999,-13.304399999999998,0,0,0,0,Other,Furniture,2014-10-15,2014,2017-03-23,29.666666666666668
AD-10180,15,12,1869.9294,6106.88,0.0583333333333333,Home Office,Central,247.7298,1450.4798,171.71980000000002,3,1,1,1,All Three,Office Supplies,2014-11-19,2014,2017-12-01,36.93333333333333
AF-10870,16,16,317.9712,2052.908,0.2,Consumer,Central,-73.1888,188.2242,202.9358,2,0,1,1,Other,Office Supplies,2015-12-06,2015,2017-11-19,23.8
AF-10885,17,7,-163.1175,861.565,0.2571428571428572,Consumer,South,-139.2345,23.4416,-47.3246,1,0,1,0,Other,Office Supplies,2014-05-10,2014,2016-11-10,30.5
AG-10270,18,14,732.7399,2582.898,0.0142857142857142,Consumer,West,389.06840000000005,50.284099999999995,293.3874,3,1,1,1,All Three,Office Supplies,2014-05-13,2014,2017-03-27,34.96666666666667
AG-10300,19,5,59.2884,367.548,0.08,Corporate,West,43.513,0.0,15.775400000000001,2,1,0,1,Furniture + Office Supplies,Office Supplies,2014-04-26,2014,2017-09-03,40.86666666666667
AG-10330,20,9,-5.137100000000006,660.972,0.2333333333333333,Consumer,West,-135.087,58.161199999999994,71.78869999999999,2,0,1,1,Other,Office Supplies,2016-08-03,2016,2017-12-22,16.866666666666667
AG-10390,21,8,69.2784,200.945,0.2249999999999999,Consumer,East,8.2992,0.0,60.9792,2,1,0,1,Furniture + Office Supplies,Office Supplies,2014-04-19,2014,2017-09-07,41.233333333333334
AG-10495,22,21,295.6668,2356.855,0.2047619047619047,Corporate,East,45.194100000000006,-5.3644,255.8371,2,1,0,1,Furniture + Office Supplies,Furniture,2015-01-04,2015,2017-10-13,33.766666666666666
AG-10525,23,9,-152.7613,1455.038,0.1555555555555555,Corporate,South,-120.294,-82.7725,50.3052,1,0,0,1,Other,Technology,2014-08-09,2014,2015-09-07,13.133333333333333
AG-10675,24,15,-246.42570000000003,3489.0396000000005,0.1613333333333333,Consumer,Central,-316.9474,3.982,66.5397,2,0,1,1,Other,Office Supplies,2015-05-07,2015,2017-09-24,29.033333333333335
AG-10765,25,5,-8.431000000000001,170.584,0.4599999999999999,Home Office,East,0.0,0.0,-8.431000000000001,0,0,0,0,Other,Office Supplies,2014-09-17,2014,2017-10-14,37.43333333333333
AG-10900,26,21,343.6824,4510.797,0.1666666666666666,Consumer,West,67.50420000000001,149.2488,126.9294,3,1,1,1,All Three,Technology,2014-07-23,2014,2017-09-25,38.666666666666664
AH-10030,27,11,365.2152,1744.7,0.0909090909090909,Corporate,East,58.99719999999999,86.6421,219.5759,3,1,1,1,All Three,Office Supplies,2014-04-22,2014,2017-12-18,44.53333333333333
AH-10075,28,20,281.189,3250.337,0.135,Corporate,East,-40.71540000000002,-6.21,328.11440000000005,1,0,0,1,Other,Office Supplies,2014-11-16,2014,2017-11-26,36.86666666666667
AH-10120,29,16,-2.3145999999999773,1735.514,0.2375,Home Office,West,-290.12859999999995,-6.438699999999999,294.2527,1,0,0,1,Other,Furniture,2014-07-18,2014,2017-10-31,40.03333333333333
AH-10195,30,8,-378.5509,1587.452,0.35,Corporate,South,-12.5528,0.0,-365.9981,0,0,0,0,Other,Furniture,2015-03-05,2015,2017-11-05,32.53333333333333
AH-10210,31,13,1308.5546,4805.344,0.0923076923076923,Consumer,West,0.0,351.1846,957.37,2,0,1,1,Other,Technology,2014-11-29,2014,2017-12-24,37.36666666666667
AH-10465,32,8,-196.1201,2495.3916,0.14,Consumer,East,-439.31759999999997,219.6525,23.544999999999998,2,0,1,1,Other,Technology,2015-01-03,2015,2017-05-14,28.733333333333334
AH-10585,33,5,83.96300000000001,738.504,0.12,Consumer,Central,27.12,38.396,18.447,3,1,1,1,All Three,Technology,2014-10-26,2014,2017-12-09,38.0
AH-10690,34,23,1298.0166,7888.294,0.217391304347826,Corporate,East,336.22959999999995,828.5314000000001,133.25560000000002,3,1,1,1,All Three,Furniture,2014-04-02,2014,2016-11-15,31.933333333333334
AI-10855,35,18,867.7271000000001,4375.786,0.0722222222222222,Consumer,East,263.3446,166.3534,438.0291,3,1,1,1,All Three,Technology,2014-04-28,2014,2017-12-17,44.3
AJ-10780,36,15,150.71300000000005,4867.344,0.0866666666666666,Corporate,South,-689.6546,18.8937,821.4739000000001,2,0,1,1,Other,Furniture,2014-01-10,2014,2017-10-16,45.833333333333336
AJ-10795,37,21,1158.7064,4501.391,0.0833333333333333,Corporate,South,610.7692,354.70200000000006,193.2352,3,1,1,1,All Three,Furniture,2014-05-14,2014,2017-07-17,38.666666666666664
AJ-10945,38,10,521.1351999999999,1839.24,0.04,Consumer,South,33.2156,106.2264,381.6932,3,1,1,1,All Three,Office Supplies,2014-03-03,2014,2017-10-06,43.766666666666666
AJ-10960,39,5,60.4265,629.2479999999999,0.04,Consumer,East,0.0,0.0,60.4265,1,0,0,1,Other,Office Supplies,2014-09-14,2014,2017-10-17,37.63333333333333
AM-10360,40,12,194.9878,814.012,0.125,Corporate,Central,-64.9376,86.3892,173.5362,2,0,1,1,Other,Office Supplies,2014-10-06,2014,2017-12-02,38.43333333333333
AM-10705,41,22,1085.7326,5664.022,0.0636363636363636,Consumer,South,738.8388,115.97,230.9238,3,1,1,1,All Three,Office Supplies,2014-10-31,2014,2017-07-21,33.13333333333333
AO-10810,42,1,12.096,161.28,0.2,Corporate,West,12.096,0.0,0.0,1,1,0,0,Furniture Only,Furniture,2016-08-16,2016,2016-08-16,0.0
AP-10720,43,19,285.7888,1638.554,0.1631578947368421,Home Office,East,-1.8805999999999976,61.631,226.03839999999997,2,0,1,1,Other,Technology,2014-03-03,2014,2017-11-19,45.233333333333334
AP-10915,44,31,579.3113,3323.556,0.0935483870967742,Consumer,South,-5.739400000000001,242.9293,342.1214,2,0,1,1,Other,Office Supplies,2014-08-23,2014,2017-09-23,37.56666666666667
AR-10345,45,5,-221.0544,1055.694,0.26,Corporate,East,-194.61659999999998,-30.1578,3.72,1,0,0,1,Other,Furniture,2014-12-30,2014,2017-09-10,32.833333333333336
AR-10405,46,7,-98.7646,2236.128,0.0999999999999999,Corporate,East,-280.3344,115.78,65.7898,2,0,1,1,Other,Furniture,2014-10-03,2014,2017-08-27,35.3
AR-10510,47,7,43.6695,264.86400000000003,0.2142857142857142,Consumer,East,0.0,8.775899999999998,34.8936,2,0,1,1,Other,Office Supplies,2014-05-02,2014,2017-12-16,44.13333333333333
AR-10540,48,9,2884.6208,6608.448,0.0666666666666666,Consumer,East,92.7656,215.9892,2575.866,3,1,1,1,All Three,Furniture,2014-11-25,2014,2017-12-24,37.5
AR-10570,49,2,32.633,88.15,0.0,Consumer,South,15.525,0.0,17.108,2,1,0,1,Furniture + Office Supplies,Furniture,2016-07-14,2016,2016-07-14,0.0
AR-10825,50,13,494.83519999999993,4523.336,0.0769230769230769,Corporate,West,372.5168,176.24259999999998,-53.9242,2,1,1,0,Furniture + Technology,Office Supplies,2014-06-30,2014,2017-11-02,40.7
AS-10045,51,10,-253.5746,3050.692,0.355,Corporate,South,77.8707,-291.82469999999995,-39.6206,1,1,0,0,Furniture Only,Office Supplies,2014-07-27,2014,2017-10-03,38.8
AS-10090,52,25,64.53739999999998,3255.31,0.18,Consumer,South,291.96299999999997,34.1886,-261.61420000000004,2,1,1,0,Furniture + Technology,Furniture,2014-09-22,2014,2017-12-02,38.9
AS-10135,53,3,21.8496,58.82,0.0666666666666666,Home Office,East,1.5048,0.0,20.3448,2,1,0,1,Furniture + Office Supplies,Furniture,2016-11-13,2016,2017-11-19,12.366666666666667
AS-10225,54,13,719.7751000000001,4260.784,0.0615384615384615,Corporate,East,161.40480000000002,356.47700000000003,201.8933,3,1,1,1,All Three,Technology,2014-10-18,2014,2017-12-08,38.233333333333334
AS-10240,55,13,33.715799999999994,584.6080000000001,0.2692307692307692,Consumer,South,7.604799999999999,0.0,26.110999999999997,2,1,0,1,Furniture + Office Supplies,Office Supplies,2014-03-15,2014,2017-06-21,39.8
AS-10285,56,8,354.62760000000003,3214.236,0.225,Corporate,West,276.7842,7.270399999999999,70.573,3,1,1,1,All Three,Office Supplies,2016-05-21,2016,2017-12-11,18.966666666666665
AS-10630,57,12,136.49190000000002,833.398,0.1833333333333333,Home Office,Central,-6.5824,44.868,98.2063,2,0,1,1,Other,Office Supplies,2014-08-01,2014,2017-09-29,38.5
AT-10435,58,9,100.87680000000002,1171.814,0.1999999999999999,Home Office,West,25.4896,3.352,72.03520000000002,3,1,1,1,All Three,Office Supplies,2014-11-24,2014,2017-12-09,37.03333333333333
AT-10735,59,16,974.107,3831.864,0.0875,Consumer,West,27.3592,25.193,921.5548,3,1,1,1,All Three,Office Supplies,2014-08-30,2014,2017-12-17,40.166666666666664
AW-10840,60,8,65.77250000000001,649.376,0.2,Consumer,Central,23.316,12.3305,30.126,3,1,1,1,All Three,Office Supplies,2015-04-13,2015,2017-12-10,32.4
AW-10930,61,16,-104.5486,2852.968,0.30625,Home Office,Central,-102.0176,123.88060000000002,-126.4116,1,0,1,0,Other,Technology,2014-07-14,2014,2017-11-14,40.63333333333333
AY-10555,62,10,103.3499,497.014,0.1,Corporate,West,51.3805,6.6976,45.271800000000006,3,1,1,1,All Three,Furniture,2014-04-06,2014,2017-12-16,45.0
AZ-10750,63,12,154.9503,1622.0179999999998,0.125,Consumer,East,72.178,-24.2257,106.998,2,1,0,1,Furniture + Office Supplies,Office Supplies,2014-03-17,2014,2017-07-23,40.8
BB-10990,64,8,11.583900000000009,744.3399999999999,0.2,Corporate,West,0.0,38.7792,-27.195299999999996,1,0,1,0,Other,Office Supplies,2014-07-27,2014,2017-09-16,38.233333333333334
BB-11545,65,20,1015.075,6765.728,0.195,Corporate,Central,770.1477,55.6012,189.32610000000003,3,1,1,1,All Three,Office Supplies,2015-06-05,2015,2017-12-02,30.366666666666667
BC-11125,66,18,251.5974,2933.676,0.1111111111111111,Home Office,West,115.157,140.6788,-4.238400000000004,2,1,1,0,Furniture + Technology,Furniture,2014-07-06,2014,2017-06-11,35.7
BD-11320,67,19,1094.5037,5718.521,0.0789473684210526,Consumer,West,805.984,134.7423,153.7774,3,1,1,1,All Three,Furniture,2015-05-31,2015,2017-11-27,30.366666666666667
BD-11500,68,10,1142.1225,4411.2429999999995,0.135,Consumer,Central,-5.145,970.6978,176.5697,2,0,1,1,Other,Technology,2014-02-01,2014,2017-11-25,46.43333333333333
BD-11560,69,4,116.714,320.54,0.0,Home Office,West,0.0,36.4704,80.2436,2,0,1,1,Other,Technology,2015-05-30,2015,2017-03-27,22.233333333333334
BD-11605,70,20,634.8463,3288.471,0.0725,Consumer,East,78.185,12.6615,543.9997999999999,3,1,1,1,All Three,Office Supplies,2014-01-13,2014,2017-09-24,45.0
BD-11620,71,8,206.75689999999997,1538.11,0.175,Consumer,West,66.9536,-2.6561999999999983,142.4595,2,1,0,1,Furniture + Office Supplies,Office Supplies,2014-06-30,2014,2017-10-22,40.333333333333336
BD-11635,72,5,141.53400000000002,582.646,0.1,Consumer,South,12.8058,27.69,101.0382,3,1,1,1,All Three,Office Supplies,2014-10-05,2014,2017-12-21,39.1
BD-11725,73,10,333.9791,1526.5,0.02,Consumer,South,57.4784,0.0,276.5007,2,1,0,1,Furniture + Office Supplies,Office Supplies,2015-07-03,2015,2017-09-28,27.266666666666666
BD-11770,74,10,141.265,658.466,0.12,Consumer,Central,30.098,22.491,88.676,3,1,1,1,All Three,Technology,2016-03-10,2016,2017-02-06,11.1
BE-11335,75,9,1487.7739,4204.676,0.0222222222222222,Home Office,Central,90.722,1220.8164000000002,176.2355,3,1,1,1,All Three,Office Supplies,2016-01-15,2016,2017-09-02,19.866666666666667
BE-11410,76,5,755.9150999999999,2261.438,0.16,Consumer,East,0.0,544.4175,211.4976,2,0,1,1,Other,Office Supplies,2016-02-07,2016,2017-09-23,19.8
BE-11455,77,13,139.20080000000002,1727.652,0.1461538461538461,Home Office,Central,27.1635,63.380700000000004,48.6566,3,1,1,1,All Three,Office Supplies,2015-08-02,2015,2017-04-20,20.9
BF-10975,78,13,227.4384,599.798,0.1461538461538461,Corporate,South,12.8744,0.0,214.56400000000002,2,1,0,1,Furniture + Office Supplies,Office Supplies,2014-07-14,2014,2017-09-30,39.13333333333333
BF-11005,79,10,-291.38109999999995,1333.88,0.18,Home Office,West,-388.28,71.0379,25.861,2,0,1,1,Other,Office Supplies,2014-09-25,2014,2017-11-21,38.43333333333333
BF-11020,80,21,302.02,2888.506,0.2571428571428572,Corporate,Central,-96.6498,409.5852,-10.915399999999996,1,0,1,0,Other,Office Supplies,2014-02-15,2014,2017-10-17,44.666666666666664
BF-11080,81,6,110.9272,272.95,0.0,Consumer,East,0.0,0.0,110.9272,1,0,0,1,Other,Office Supplies,2014-11-28,2014,2017-12-05,36.766666666666666
BF-11170,82,27,1538.2127,5907.972,0.1222222222222222,Home Office,West,-48.2341,649.6987,936.7481,2,0,1,1,Other,Office Supplies,2014-04-13,2014,2017-12-14,44.7
BF-11215,83,8,523.2133,1585.162,0.05,Home Office,West,194.7126,137.38709999999998,191.1136,3,1,1,1,All Three,Furniture,2014-11-09,2014,2017-10-26,36.06666666666667
BF-11275,84,4,25.870199999999997,791.9899999999999,0.15,Corporate,West,-35.3646,27.1032,34.1316,2,0,1,1,Other,Furniture,2014-03-22,2014,2017-11-03,44.06666666666667
BG-11035,85,12,-711.4274,2798.948,0.1916666666666666,Consumer,South,40.473,224.4846,-976.385,2,1,1,0,Furniture + Technology,Furniture,2014-11-05,2014,2017-12-02,37.43333333333333
BG-11695,86,8,107.5715,1874.172,0.1375,Corporate,East,-8.4124,69.999,45.984899999999996,2,0,1,1,Other,Office Supplies,2014-05-11,2014,2017-11-24,43.1
BG-11740,87,7,119.3479,1006.356,0.1428571428571428,Consumer,East,57.74850000000001,42.495,19.1044,3,1,1,1,All Three,Office Supplies,2014-03-23,2014,2017-11-03,44.03333333333333
BH-11710,88,24,802.7898,6255.351,0.1833333333333333,Consumer,West,34.5192,316.1772,452.0934,3,1,1,1,All Three,Furniture,2014-06-09,2014,2017-12-07,42.56666666666667
BK-11260,89,16,-63.764399999999995,659.1379999999999,0.20625,Consumer,East,-122.994,8.2908,50.9388,2,0,1,1,Other,Office Supplies,2014-08-03,2014,2017-10-14,38.93333333333333
BM-11140,90,16,-1659.9580999999998,11789.63,0.16875,Consumer,Central,-7.075500000000002,-1316.6075,-336.2751,0,0,0,0,Other,Furniture,2014-09-08,2014,2017-02-26,30.066666666666666
BM-11575,91,10,95.5816,808.162,0.18,Corporate,East,28.2595,71.17739999999999,-3.8552999999999997,2,1,1,0,Furniture + Technology,Furniture,2015-09-15,2015,2017-09-21,24.566666666666666
BM-11650,92,29,2199.2781,7294.185,0.0844827586206896,Corporate,East,49.0654,733.4946,1416.7181,3,1,1,1,All Three,Office Supplies,2014-07-09,2014,2017-11-27,41.233333333333334
BM-11785,93,14,137.7439,1338.842,0.25,Consumer,East,-1.6428000000000011,152.50560000000002,-13.118900000000002,1,0,1,0,Other,Office Supplies,2014-06-06,2014,2017-05-26,36.166666666666664
BN-11470,94,6,36.6131,265.296,0.1666666666666666,Corporate,South,0.0,7.244,29.3691,2,0,1,1,Other,Technology,2014-09-12,2014,2017-12-06,39.36666666666667
BN-11515,95,17,340.7054,1459.344,0.0235294117647058,Consumer,West,79.9072,0.0,260.7982,2,1,0,1,Furniture + Office Supplies,Office Supplies,2014-03-17,2014,2017-12-21,45.833333333333336
BO-11350,96,12,278.77700000000004,2682.728,0.2333333333333333,Corporate,West,260.9196,38.9974,-21.14,2,1,1,0,Furniture + Technology,Furniture,2016-01-03,2016,2017-08-15,19.666666666666668
BO-11425,97,2,59.4522,130.83,0.0,Consumer,South,0.0,0.0,59.4522,1,0,0,1,Other,Office Supplies,2015-09-10,2015,2017-10-16,25.566666666666666
